Temps Sain Incubation Infectes Quarantaine Hopital Morts Retablis Total
91.905 2042.2918809189 13.3503718806 62.2652625991 221.2545457470 71.4464134616 14203.3210303965 86010.8753548011 85796.6789696035
92.915 2040.8936209897 11.6035912697 54.2808449363 200.7902774977 63.7970221586 14204.5067710296 86049.0306475398 85795.4932289703
93.925 2039.6754642449 10.0878711146 47.3175026423 182.2059268792 56.9371608680 14205.5317679147 86083.2321690659 85794.4682320852
94.935 2038.6141860813 8.7721191797 41.2452827617 165.3295511166 50.7900647620 14206.4182590070 86113.8923592513 85793.5817409930
95.945 2037.6895639739 7.6295356150 35.9506311908 150.0049810149 45.2856265297 14207.1853437465 86141.3804425375 85792.8146562535
96.955 2036.8839874801 6.6369988216 31.3343547585 136.0903449205 40.3599686963 14207.8494343934 86166.0269541977 85792.1505656067
97.965 2036.1821194178 5.7745432624 27.3098294936 123.4567381095 35.9550115824 14208.4246413543 86188.1277976545 85791.5753586458
98.975 2035.5706013717 5.0249147337 23.8014269410 111.9870218164 32.0180461121 14208.9231022961 86207.9478797950 85791.0768977039
99.985 2035.0377976286 4.3731910099 20.7431332333 101.5747380795 28.5013181576 14209.3552633702 86225.7243669542 85790.6447366299
100.995 2034.5735724555 3.8064577564 18.0773382721 92.1231282666 25.3616291353 14209.7301196231 86241.6696002401 85790.2698803769
102.005 2034.1690963241 3.3135312510 15.7537748156 83.5442445853 22.5599560229 14210.0554206122 86255.9737051817 85789.9445793878
103.015 2033.8166772792 2.8847208202 13.7285894934 75.7581451351 20.0610927754 14210.3378463423 86268.8069272721 85789.6621536577
104.024 2033.5096141598 2.5116250283 11.9635297955 68.6921641326 17.8333142006 14210.5831578797 86280.3217218615 85789.4168421202
105.034 2033.2420688183 2.1869566035 10.4252329096 62.2802498802 15.8480626617 14210.7963263498 86290.6546240050 85789.2036736501
106.044 2033.0089548634 1.9043918683 9.0846039174 56.4623638630 14.0796574564 14210.9816434741 86299.9279212839 85789.0183565258
107.054 2032.8058407767 1.6584411012 7.9162723370 51.1839350713 12.5050263402 14211.1428163363 86308.2511502637 85788.8571836635
108.064 2032.6288655400 1.4443368021 6.8981173006 46.3953642698 11.1034583961 14211.2830486669 86315.7224351360 85788.7169513329
109.074 2032.4746651485 1.2579372956 6.0108528290 42.0515734836 9.8563772635 14211.4051106001 86322.4296851638 85788.5948893997
110.084 2032.3403086024 1.0956434917 5.2376656948 38.1115964560 8.7471336248 14211.5113985682 86328.4516658276 85788.4886014317
111.094 2032.2232421509 0.9543269494 4.5638992822 34.5382062572 7.7608157786 14211.6039867540 86333.8589570094 85788.3960132458
112.104 2032.1212407217 0.8312676584 3.9767776610 31.2975766068 6.8840771024 14211.6846713144 86338.7148101552 85788.3153286855
113.114 2032.0323656083 0.7241001901 3.4651648055 28.3589738060 6.1049792067 14211.7550084095 86343.0759150998 85788.2449915903
114.124 2031.9549276077 0.6307670615 3.0193545178 25.6944764772 5.4128496075 14211.8163469237 86346.9930861120 85788.1836530762
115.134 2031.8874549056 0.5494783215 2.6308871672 23.2787205780 4.7981527806 14211.8698566321 86350.5118757083 85788.1301433677
116.144 2031.8286650967 0.4786765113 2.2923898448 21.0886673929 4.2523735104 14211.9165524615 86353.6731238782 85788.0834475384
117.154 2031.7774408072 0.4170062683 1.9974369579 19.1033924264 3.7679115036 14211.9573153957 86356.5134495566 85788.0426846041
118.164 2031.7328084555 0.3632879479 1.7404286629 17.3038933089 3.3379862963 14211.9929105016 86359.0656904505 85788.0070894983
119.174 2031.6939197476 0.3164947212 1.5164848656 15.6729150058 2.9565515467 14212.0240024778 86361.3592966843 85787.9759975221
120.184 2031.6600355531 0.2757326851 1.3213528009 14.1947907744 2.6182178691 14212.0511690759 86363.4206831416 85787.9488309240
121.194 2031.6305118574 0.2402235806 1.1513264601 12.8552974551 2.3181834240 14212.0749126897 86365.2735448705 85787.9250873102
